,word
582,大都
583,记得
584,只
585,记得
586,少年时期
587,读过
588,牛
589,逼
590,故事
591,哪天要
592,重读
593,一遍
594,顶峰
595,经典
596,最好
597,译本
598,时代
599,革命
600,风云
601,激荡
602,里面
603,有着
604,大量
605,心理
606,历史
607,描写
608,果然
609,比
610,电影
611,强太多
612,听
613,电影
614,重新
615,一遍
616,原著
617,写
618,的确
619,无敌
620,好
621,觉得
622,主人公
623,很蠢
624,当然
625,三观
626,扭曲
627,吧
628,╮
629,╯
630,▽
631,╰
632,╭
633,世界
634,美丽
635,光
636,善良
637,翻译
638,..
639,最后
640,那首
641,诗
642,生来死去
643,人生
644,规律
645,昼去
646,夜来
647,同样
648,道理
649,记得
650,五年级
651,完泪
652,崩
653,笑
654,书中
655,文字
656,读来
657,丝丝
658,甜
659,独自
660,阅读
661,夜晚
662,总是
663,那么
664,美好
665,十分
666,剧情
667,初中
668,时代
669,印象
670,最深
671,所谓
672,名著
673,£
674,喜马拉雅
675,听
676,之前
677,看书
678,一直
679,卡
680,描写
681,滑铁卢
682,一部分
683,听
684,的话
685,顺畅
686,终于
687,~
688,作者
689,啰嗦
690,~
691,~
692,kindle
693,版
694,整体
695,不错
696,个别
697,错别字
698,震撼
699,以后
700,失落
701,译得
702,不错
703,第一部
704,很少
705,入迷
706,大部头
707,悲惨世界
708,卑鄙
709,卑鄙
710,者
711,通行证
712,高尚
713,高尚
714,者
715,墓志铭
716,总之
717,格朗
718,泰尔
719,安灼飞
720,你们
721,最终
722,还是
723,双双
724,化蝶
725,人家
726,感动
727,=
728,w
729,=
730,反映
731,社会
732,现实
733,深刻
734,得
735,拖太长
736,以至于
737,苦难
738,无法
739,深刻
740,震撼
741,悲剧
742,噎
743,死
744,N
745,次
746,表示
747,结局
748,不错
749,其实
750,结局
751,可以
752,再虐
753,一点
754,再
755,忘恩负义
756,点
757,这样
758,绝对
759,一辈子
760,忘不了
761,喂
762,不是
763,重点
764,重点
765,封面
766,多少
767,小时候
768,系列
769,封面
770,戳
771,泪点
772,恨不得
773,大哭
774,一场
775,再见
776,小时候
777,再见
778,无忧无虑
779,只有
780,庇护
781,书本
782,年代
783,高一
784,借老庚
785,音乐剧
786,悲惨世界
787,电影版
788,上映
789,前
790,重温
791,一下
792,经典
793,起来
794,这套
795,世界
796,文学
797,文库
798,装订
799,纸张
800,质量
801,实在
802,不敢恭维
803,只要
804,摊开
805,看书
806,.
807,轻轻
808,用力
809,断
810,当年
811,翻书
812,翻
813,得
814,胆战心惊
815,电影
816,之后
817,重读
818,得
819,心碎
820,真是
821,好书
822,这书
823,里面
824,喜欢
825,段
826,爱情
827,其它
828,好
829,角色
830,值得
831,痛哭
832,一场
833,雨果
834,真是
835,营造
836,矛盾
837,塑造
838,人物
839,大师
840,啊
841,喜欢
842,自由
843,所以
844,爱上
845,法国
846,喜欢
847,浪漫
848,所以
849,倾心
850,雨果
851,还有
852,更
853,内在
854,东西
855,雨果
856,一个个
857,诠释
858,清楚
859,只
860,感受
861,伟大
862,好像
863,马吕斯
864,当初
865,膜拜
866,父亲
867,后来
868,膜拜
869,冉阿让
870,般
871,不由自主
872,下跪
873,虽
874,信仰
875,上帝
876,信仰
877,真善美
878,名著
879,果然
880,名著
881,啊
882,时代感
883,很强
884,现在
885,早已
886,当时
887,那般
888,气节
889,然而
890,正是如此
891,严肃
892,厚重
893,光芒万丈
894,人性
895,史诗
896,才
897,沉痛
898,欣慰
899,故事
900,值得
901,花
902,一生
903,一读再读
904,钟爱
905,喜欢
906,场面
907,两个
908,一为
909,卞福
910,汝
911,主教
912,共和党人
913,x
914,对话
915,书中
916,）
917,二为
918,冉阿让
919,背着
920,战伤
921,马吕斯
922,通过
923,地井
924,场面
925,电影
926,）
927,有些
928,评论
929,此书
930,悲惨
931,人物
932,不过
933,沙威
934,囚犯
935,境界
936,已经
937,超乎
938,法律
939,内心
940,矛盾
941,即将
942,引到
943,另
944,深渊
945,擅长于
946,思考
947,当
948,矛盾
949,临时
950,尽心尽力
951,写
952,一份
953,忠告
954,坚持
955,最后
956,忠守
957,<
958,法律
959,>
960,粗鲁
961,最终
962,无法
963,超越
964,界限
965,冉阿让
966,忠守
967,<
968,法律
969,>
970,唯一
971,支柱
972,所以
973,坠入
974,黑
975,漩涡
976,结果
977,还是
978,比较
979,合理
980,无法
981,接受
982,人物
983,应该
984,反映
985,当时
986,开始
987,觉悟
988,既
989,无法
990,回首
991,无法
992,前进
993,一些
994,法国人
995,吧
996,版本
997,其他
998,译本
999,没
1000,看过
1001,李玉民译
1002,得
1003,不错
1004,圣经
1005,啊
1006,N
1007,遍
1008,小学
1009,3
1010,年级
1011,开始
1012,悲惨世界
1013,连环画
1014,初一
1015,简写
1016,版
1017,原著
1018,1
1019,/
1020,3
1021,厚
1022,省掉
1023,历史
1024,情节
1025,）
1026,初二
1027,版本
1028,高中
1029,几遍
1030,大学
1031,不远万里
1032,带到
1033,学校
1034,去
1035,换
1036,几个
1037,校区
1038,随身带
1039,爱
1040,诚然
1041,沙威
1042,才
1043,悲惨
1044,人物
1045,真
1046,叨叨
1047,有声书
1048,听
1049,感觉
1050,意义
1051,并不大
1052,喜欢
1053,爱
1054,别人
1055,才能
1056,得
1057,救赎
1058,可以
1059,打十星
1060,毫无疑问
1061,人生
1062,至爱
1063,我能
1064,初中
1065,主人公
1066,冉阿让
1067,彻底
1068,影响
1069,曾近
1070,一段时间
1071,一直
1072,往
1073,自己
1074,身上
1075,去
1076,灌输
1077,元素
1078,不灭
1079,人性
1080,才
1081,心中
1082,壮美
1083,奇迹
1084,知乎
1085,某人
1086,奉
1087,本命
1088,悲惨世界
1089,一流
1090,文学
1091,巴黎圣母院
1092,二流
1093,雨果
1094,說
1095,不要
1096,過於
1097,苛責馬
1098,裏
1099,於
1100,斯
1101,辦
1102,不到
1103,啊
1104,心
1105,糾結
1106,得
1107,發顫
1108,終於
1109,知道
1110,為何
1111,珂
1112,赛特
1113,馬
1114,裏
1115,於
1116,斯
1117,終成
1118,眷屬
1119,卻
1120,仍
1121,舊
1122,叫
1123,悲慘
1124,世界
1125,因為
1126,所有
1127,喜愛的
1128,人物
1129,主教
1130,/
1131,艾潘妮
1132,/
1133,老馬伯夫
1134,先生
1135,/
1136,加弗羅什
1137,/
1138,ABC
1139,們
1140,/
1141,沙威
1142,/
1143,冉阿讓
1144,）
1145,悲慘
1146,逝去
1147,满
1148,适合
1149,激励
1150,少年
1151,开始
1152,大概
1153,只是
1154,珂
1155,赛特
1156,很漂亮
1157,初中
1158,第一次
1159,很多遍
1160,高潮
1161,部分
1162,精彩
1163,现在
1164,通常
1165,结构
1166,一样
1167,更
1168,胆量
1169,写
1170,自己
1171,结构
1172,我能
1173,有限
1174,写出
1175,杰作
1176,吗
1177,2014
1178,最后
1179,冉阿让
1180,真是
1181,好人
1182,冉卫
1183,不是
1184,坏人
1185,只是
1186,太
1187,执着
1188,于
1189,原则
1190,马吕斯
1191,真心
1192,小白脸
1193,>
1194,<
1195,再
1196,音乐剧
1197,更加
1198,觉得
1199,歌
1200,那么
1201,感人
1202,最后
1203,命运
1204,悲悯
1205,接
1206,离去
1207,眼看
1208,盼来
1209,美满
1210,结局
1211,最后
1212,一杯
1213,苦酒
1214,之后
1215,冉阿让
1216,最终
1217,离去
1218,曾
1219,以为
1220,再也
1221,掉
1222,不出
1223,一滴
1224,眼泪
1225,多年
1226,前读
1227,压抑
1228,不日
1229,再
1230,重温
1231,一遍
1232,妈妈
1233,喜欢
1234,正式
1235,第一本
1236,外国
1237,长篇小说
1238,太爱
1239,小时候
1240,看过
1241,动画片
1242,觉得
1243,好
1244,可是
1245,似乎
1246,比
1247,动画
1248,讲
1249,更
1250,残忍
1251,最后
1252,冉
1253,-
1254,啊
1255,只得
1256,自己
1257,孤独
1258,终老
1259,改变
1260,一生
1261,凌晨
1262,4
1263,点
1264,哭
1265,天亮
1266,记忆
1267,怎么
1268,能
1269,忘
1270,爱
1271,救赎
1272,评分
1273,好
1274,高
1275,啊
1276,超过
1277,9
1278,啊
1279,可惜
1280,雨果
1281,作品
1282,读不出
1283,感觉
1284,啊
1285,没
1286,缘分
1287,啊
1288,#
1289,初中
1290,#
1291,少年
1292,文学梦
1293,杀手
1294,－
1295,－
1296,北京
1297,燕山
1298,冉阿让
1299,珂
1300,赛特
1301,马吕斯
1302,彭迈西
1303,最后
1304,哭
1305,不能自已
1306,不愧
1307,名著
1308,里面
1309,很多
1310,真知灼见
1311,还是
1312,相信
1313,总是
1314,趋向于
1315,光明
1316,无论
1317,现实
1318,世界
1319,黑暗
1320,内生
1321,力量
1322,才
1323,强大
1324,坚持
1325,自有
1326,意义
1327,电影
1328,musical
1329,再补
1330,原著
1331,别有
1332,一番
1333,风味
1334,好多
1335,background
1336,剧里
1337,完全
1338,没
1339,涉及
1340,然而
1341,人物
1342,心理
1343,张力
1344,不如
1345,音乐剧
1346,怀念
1347,ing
1348,太虐
1349,太虐
1350,My
1351,favourite
1352,novel
1353,冉阿让
1354,写
1355,论文
1356,啊
1357,人类
1358,苦难
1359,百科全书
1360,启示录
1361,看过
1362,电影
1363,音乐剧
1364,开始
1365,翻看
1366,简约
1367,版
1368,必读
1369,经典
1370,无与伦比
1371,经典
1372,一出
1373,谁
1374,争锋
1375,比起
1376,名声在外
1377,巴黎圣母院
1378,更
1379,喜欢
1380,记得
1381,初中
1382,冉
1383,阿金
1384,想
1385,做好
1386,不可
1387,得
1388,经历
1389,哭过
1390,雨果
1391,叙述
1392,夹
1393,议论
1394,写出
1395,一种
1396,经典
1397,纠结
1398,不已
1399,有罪
1400,受尽
1401,磨难
1402,怪
1403,谁
1404,呢
1405,怪
1406,任何人
1407,怪
1408,所有人
1409,安息
1410,尽管
1411,命运多舛
1412,仍
1413,偷生
1414,失去
1415,天使
1416,丧生
1417,事情
1418,自然而然
1419,地
1420,发生
1421,如同
1422,夜幕降临
1423,白日
1424,西沉
1425,地位
1426,强大
1427,行善
1428,得到
1429,安慰
1430,身份
1431,卑微
1432,行善
1433,得到
1434,自惭形秽
1435,双手
1436,合十
1437,为善
1438,为善
1439,还是
1440,相信
1441,总是
1442,趋向于
1443,光明
1444,无论
1445,现实
1446,世界
1447,黑暗
1448,内心
1449,力量
1450,才
1451,强大
1452,指引
1453,走
1454,不太
1455,喜欢
1456,那种
1457,矫情
1458,繁冗
1459,雨果
1460,知识
1461,幻想力
1462,滑铁卢
1463,描写
1464,属于
1465,印象派
1466,描写
1467,成
1468,碎片
1469,式
1470,感觉
1471,托氏
1472,战争
1473,和平
1474,描写
1475,得
1476,清晰
1477,条理分明
1478,2006
1479,多年
1480,前读
1481,断断续续
1482,地分
1483,三次
1484,15
1485,第一部
1486,去年
1487,80%
1488,飞机
1489,地铁
1490,剩下
1491,部分
1492,最后
1493,10%
1494,内容
1495,哭
1496,第一部
1497,喜爱
1498,卡福
1499,汝
1500,主教
1501,无论
1502,心思
1503,意念
1504,还是
1505,言语
1506,行为
1507,有神
1508,荣光
1509,这是
1510,真正
1511,信仰
1512,普通人
1513,则
1514,更
1515,像
1516,冉阿让
1517,始于
1518,苦难
1519,终于
1520,救赎
1521,某个
1522,偶然
1523,时刻
1524,真光
1525,照亮
1526,心灵
1527,黑暗
1528,从此
1529,便
1530,开始
1531,灵魂
1532,搏斗
1533,善
1534,恶
1535,争战
1536,争战
1537,硝烟
1538,关于
1539,灵魂
1540,生死
1541,争战
1542,怀着
1543,敬畏
1544,心
1545,凡事
1546,交托
1547,倚靠
1548,竭尽全力
1549,常常
1550,自省
1551,苦难
1552,中学
1553,忍耐
1554,静默
1555,等候
1556,公正
1557,那位
1558,来到
1559,也许
1560,所有
1561,信仰
1562,人该
1563,样式
1564,描绘
1565,世界
1566,更加
1567,悲惨
1568,作为
1569,希望
1570,活
1571,下来
1572,珂
1573,赛特
1574,马吕斯
1575,实在
1576,讨人喜欢
1577,特别
1578,马吕斯
1579,自私
1580,冷酷
1581,实在
1582,不喜
1583,冉阿让
1584,太
1585,可怜
1586,终于
1587,虽然
1588,简化版
1589,但是
1590,还是
1591,觉得
1592,故事
1593,吸引
1594,电影
1595,打下基础
1596,哈哈哈
1597,哈哈
1598,周末
1599,去
1600,音乐剧
1601,说句
1602,不好
1603,听
1604,雨果
1605,擅长
1606,用
1607,历史
1608,建筑
1609,政论
1610,故事
1611,扯
1612,得
1613,支离破碎
1614,然后
1615,李玉民
1616,这版
1617,翻译
1618,实在话
1619,觉得
1620,挺差
1621,讲真
1622,新华书店
1623,人生
1624,第一次
1625,体会
1626,阅读
1627,至
1628,痛哭流涕
1629,无法自拔
1630,吓
1631,尿
1632,旁边
1633,肖窈
1634,动画片
1635,原著
1636,一路
1637,追过去
1638,宏大
1639,法国
1640,历史
1641,特别
1642,喜欢
1643,版本
1644,悲惨世界
1645,最好
1646,翻译
1647,犹如
1648,一首
1649,圣歌
1650,~
1651,~
1652,~
1653,~
1654,真正
1655,生命
1656,开始
1657,地方
1658,不是
1659,我读
1660,一版
1661,名为
1662,悲惨世界
1663,悲惨
1664,结局
1665,伟大
1666,精彩
1667,厚重
1668,杰作
1669,只有
1670,雨果
1671,这样
1672,大师
1673,才能
1674,把握住
1675,错综复杂
1676,脉络
1677,才能
1678,自始至终
1679,坚持
1680,站
1681,人类
1682,高度
1683,令人
1684,震撼
1685,人道主义
1686,童年
1687,看过
1688,最棒
1689,上下
1690,两本
1691,密密麻麻
1692,小字
1693,迄今为止
1694,唯一
1695,完整
1696,雨果
1697,记得
1698,初中
1699,花
1700,周末
1701,翻
1702,最后
1703,一章
1704,竟然
1705,哭
1706,人性
1707,大爱
1708,雨果
1709,对于
1710,人类
1711,苦难
1712,命运
1713,关心
1714,末
1715,坚定不移
1716,信念
1717,具有
1718,震撼人心
1719,艺术
1720,感染力
1721,一星
1722,扣
1723,翻译
1724,装帧
1725,版本
1726,相比
1727,人民
1728,文学
1729,版
1730,翻译
1731,差太远
1732,过程
1733,痛苦
1734,非常
1735,震撼
1736,雨果
1737,怎么
1738,能
1739,什么
1740,知道
1741,呢
1742,人生
1743,至福
1744,确信
1745,有人
1746,爱
1747,有人
1748,现状
1749,爱
1750,得
1751,更
1752,准确
1753,些
1754,有人
1755,不问
1756,爱
1757,虽然
1758,里面
1759,很多
1760,历史
1761,描写
1762,略
1763,出戏
1764,虽然
1765,主要
1766,情节
1767,已经
1768,了如指掌
1769,但是
1770,结局
1771,还是
1772,哭成
1773,傻
1774,逼
1775,阿让
1776,叔
1777,自我
1778,救赎
1779,一生
1780,啊
1781,人要
1782,理想主义
1783,才能
1784,活
1785,成像
1786,那般
1787,呢
1788,正在
1789,第二遍
1790,~
1791,~
1792,~
1793,此刻
1794,读者
1795,展阅
1796,无论
1797,存在
1798,怎样
1799,间歇
1800,例外
1801,或
1802,欠缺
1803,但是
1804,从头至尾
1805,整体
1806,细节
1807,全是
1808,讲述
1809,恶
1810,走向
1811,善
1812,非正义
1813,走向
1814,正义
1815,从假
1816,走向
1817,真
1818,黑夜
1819,走向
1820,光明
1821,欲望
1822,走向
1823,良心
1824,腐朽
1825,走向
1826,生命
1827,兽性
1828,走向
1829,责任
1830,地狱
1831,走向
1832,天堂
1833,虚无
1834,走向
1835,上帝
1836,起点
1837,物质
1838,终点
1839,灵魂
1840,始为
1841,九头
1842,蛇
1843,终
1844,成为
1845,天使
1846,爱
1847,所以
1848,进步
1849,宽恕
1850,爱
1851,所以
1852,愿意
1853,承担
1854,本
1855,不必
1856,罪孽
1857,牺牲
1858,自己
1859,他人
1860,谋
1861,幸福
1862,几次
1863,心痛
1864,泪流满面
1865,必须
1866,再
1867,做好
1868,心理
1869,建设
1870,才能
1871,继续
1872,下去
1873,关于
1874,无限
1875,上帝
1876,一章
1877,论述
1878,唔
1879,此
1880,版本
1881,2
1882,遍
1883,用
1884,听
1885,雨果
1886,太天真
1887,太
1888,浪漫
